股票代码,股票名称,当前价,涨跌额,涨跌幅/%,年初至今/%,成交量,成交额,换手率/%,市盈率TTM,股息率/%,市值
SH600330,天通股份,10.27,-0.15,-1.44,28.36,3971187,40980038,0.4,39.508,0.48,10234730047
SH600449,宁夏建材,15.39,-0.31,-1.97,43.46,2653200,40904445,0.55,7.975,3.255,7359206236
SH600126,杭钢股份,6.46,0.06,0.94,32.11,6357507,40747179,0.19,36.136,1.86,21816641476
SH603228,景旺电子,34.72,-0.19,-0.54,11.66,1166320,40459153,0.14,33.27,0.614,29561159840
SH605168,三人行,233.38,-0.6,-0.26,286.96,172800,40251703,1,64.129,0.649,16118786446
SH603179,新泉股份,33.9,0.42,1.25,138,1174779,40244220,0.37,56.739,0.846,10722932289
SH603183,建研院,9.19,0.1,1.1,22.37,4385579,40110926,1.8,32.384,0.901,2741193889
SH603105,芯能科技,10.57,-0.19,-1.77,47.83,3768400,40048175,1.22,64.709,0,5285000000
SH603035,常熟汽饰,14.37,-0.1,-0.69,13.09,2779971,39999393,0.83,19.422,1.681,4820880076
SH603617,君禾股份,12.13,-0.42,-3.35,16.87,3251718,39905489,1.64,28.978,0.915,2420013117
SH600381,青海春天,5.91,-0.17,-2.8,9.65,6708349,39867038,1.14,-58.13,0,3469528979
SH600886,国投电力,9.12,0.04,0.44,2.13,4353667,39849115,0.06,11.141,2.699,61888532925
SH600549,厦门钨业,14.18,-0.02,-0.14,9.64,2803349,39667419,0.2,47.776,0.705,19937735116
SH603666,亿嘉和,90.59,0.19,0.21,79.57,438161,39658698,1.11,47.783,0.206,12559283275
SH600037,歌华有线,12.63,-0.21,-1.64,46.34,3118800,39496800,0.22,79.579,5.14,17578154675
SH603788,宁波高发,18.7,0.21,1.14,17.6,2086740,39477991,0.94,23.987,3.217,4171316772
SH603208,江山欧派,126.34,3.03,2.46,224.53,314600,39395287,0.3,42.346,0.615,13273391453
SH601901,方正证券,8.61,-0.05,-0.58,-0.69,4551100,39288202,0.06,80.017,0,70878393011
SH600846,同济科技,9.33,-0.13,-1.37,4.17,4141200,38973648,0.66,7.206,3.59,5829024944
SH600811,东方集团,3.97,0,0,18.15,9808018,38858951,0.26,25.015,0,14746867212
SH603997,继峰股份,8.14,-0.2,-2.4,3.44,4724550,38843382,0.75,-40.024,2.398,8312971915
SH603609,禾丰牧业,14.17,-0.34,-2.34,21.64,2720281,38785181,0.3,9.033,1.517,13065588726
SH603615,茶花股份,11.4,0.61,5.65,29.23,3470345,38738388,1.44,53.258,5.497,2787870000
SH600026,中远海能,7.34,-0.05,-0.68,15.66,5242100,38564932,0.19,12.18,0.546,34958158436
SH600572,康恩贝,5.45,0.02,0.37,-11.38,7090754,38514106,0.27,-57.486,0,14536895090
SH600963,岳阳林纸,4.26,0.09,2.16,26.2,9001932,38161584,0.5,18.064,0.858,7689526244
SH603708,家家悦,34.74,-0.2,-0.57,44.67,1091952,38059800,0.18,40.765,1.425,21135816000
