q5_01,q5_02,q5_03,q5_04,q5_05,q5_06,q5_07,q5_08,q5_09,q5_10,q5_11,q5_12,q5_13,q5_14,q5_15,q5_16,q5_17,q5_18,q5_19,q5_20,q8,w1,w2,w6
2,2,2,1,1,1,2,3,3,3,2,2,3,3,3,4,2,1,2,3,9,2,3,12
4,5,5,5,3,5,4,3,5,4,5,3,3,5,5,5,1,4,4,3,9,2,3,7
2,4,5,5,2,2,5,5,5,5,5,5,4,4,4,5,5,2,1,2,9,2,3,12
4,4,4,4,1,1,1,4,5,5,5,4,5,5,4,3,1,2,1,1,9,1,5,9
4,3,4,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,9,2,3,8
5,5,5,5,1,2,5,2,3,5,3,5,1,1,1,3,1,1,1,1,7,2,6,16
5,5,5,1,1,1,4,5,4,1,1,4,5,2,3,5,5,4,4,5,7,2,2,12
3,2,3,5,5,5,5,5,4,3,4,4,5,5,5,3,2,2,2,3,7,2,3,9
5,5,4,5,5,4,5,4,5,4,5,5,4,4,5,4,4,3,5,4,7,2,3,11
5,5,5,5,5,5,1,3,5,5,5,5,5,5,1,5,5,5,5,5,7,1,3,11
5,5,5,4,4,1,4,3,4,3,4,3,5,3,4,5,5,4,4,4,7,2,3,11
1,4,4,2,2,1,3,5,1,5,5,1,5,2,3,2,1,1,1,4,7,2,3,6
4,3,5,4,4,5,5,4,5,4,3,4,4,3,4,3,4,5,4,3,7,2,4,9
5,5,5,4,4,4,3,4,5,3,2,2,1,4,4,5,5,4,4,5,7,2,3,1
1,3,5,5,5,5,5,5,5,5,3,4,4,3,5,5,3,4,5,5,7,2,3,11
1,4,4,1,1,3,5,5,4,5,1,2,3,4,5,5,4,3,4,3,7,2,2,8
3,4,2,1,1,1,2,3,2,3,3,2,2,2,2,4,1,1,1,1,7,2,2,8
5,5,4,5,5,4,3,5,4,5,5,4,4,5,5,5,4,5,4,5,7,2,2,5
4,5,4,1,1,1,3,3,4,4,3,5,4,3,3,5,4,4,5,5,7,2,3,5
1,5,5,5,5,5,5,5,5,5,5,1,1,4,5,5,1,1,1,1,7,2,4,16
5,5,5,2,2,5,5,5,5,5,4,3,5,5,5,4,4,5,4,3,7,2,4,11
5,4,5,4,4,4,4,4,3,4,4,4,5,4,5,4,1,4,3,2,7,2,2,7
5,5,5,1,1,2,5,5,5,5,5,3,5,5,5,5,5,5,1,5,7,2,5,9
4,4,5,3,1,5,5,5,5,5,5,3,5,5,5,5,1,1,4,3,7,2,1,7
2,5,4,1,1,4,4,1,1,4,2,1,1,5,4,4,2,5,4,1,7,2,3,15
4,5,5,2,4,5,5,2,1,4,5,3,2,3,4,5,2,4,4,5,7,2,3,13
4,4,3,5,5,5,5,5,3,2,4,4,5,3,5,5,2,4,4,4,7,2,3,9
3,4,4,4,5,5,4,5,4,5,5,4,4,5,2,3,5,4,5,4,7,2,3,15
3,3,4,2,3,2,2,1,1,2,4,2,1,1,3,4,2,4,4,3,7,1,3,1
5,4,4,3,4,3,4,3,5,4,3,5,4,3,5,4,3,4,4,3,7,2,3,11
4,5,4,3,5,4,5,4,5,5,2,4,5,4,2,5,5,5,5,4,7,1,3,1
4,4,4,5,4,5,4,4,4,4,4,4,4,4,3,5,4,4,4,4,7,2,3,9
4,5,4,3,3,3,4,4,4,5,5,5,2,5,4,3,3,3,4,3,7,1,3,6
5,5,5,5,4,1,1,5,5,5,5,1,4,4,5,5,3,2,2,4,7,2,2,1
4,3,4,2,1,5,5,5,4,5,3,1,1,4,4,3,4,2,4,5,7,2,2,7
4,3,4,4,4,4,2,3,3,2,3,3,3,4,3,2,3,1,1,1,7,2,3,8
5,5,4,2,3,3,4,5,4,5,4,3,2,4,5,4,4,4,4,1,7,1,6,5
5,5,5,1,1,4,5,5,5,5,2,2,4,2,5,5,5,1,1,1,7,2,3,13
5,5,5,5,5,5,5,4,4,3,4,4,4,5,5,5,5,1,1,5,7,1,4,11
4,4,5,5,5,5,4,5,5,5,5,5,5,5,4,4,5,4,4,4,7,1,3,1
5,4,3,4,2,4,4,4,4,4,4,4,4,5,4,4,3,4,4,3,7,2,4,9
2,2,5,4,5,4,4,3,1,3,5,4,4,1,5,1,2,3,3,3,7,1,3,1
4,4,4,3,3,3,3,3,3,4,4,3,4,2,4,5,1,4,1,1,7,2,7,12
2,3,5,2,2,4,2,5,5,5,5,4,3,5,5,5,1,2,1,1,7,2,4,1
5,5,5,5,2,5,4,2,5,5,2,4,5,5,5,3,1,3,3,3,7,2,2,15
4,5,1,5,5,1,5,1,1,5,1,1,5,5,1,1,4,4,4,1,7,2,3,16
5,5,4,5,1,5,4,3,2,4,5,5,5,3,2,5,1,4,2,3,7,2,4,10
2,2,5,2,5,1,1,2,3,5,5,3,2,2,2,5,4,2,2,1,7,1,5,1
5,5,5,5,5,5,5,4,5,4,4,4,4,5,5,5,5,1,1,5,7,1,4,11
1,4,5,1,1,1,5,1,5,4,5,1,4,1,5,5,1,4,1,5,7,2,3,99
3,2,4,3,3,5,3,2,3,4,4,3,5,3,2,3,4,3,2,4,7,2,3,13
3,3,1,5,1,5,5,5,5,5,5,4,5,1,1,5,1,5,5,5,7,2,3,9
5,5,5,4,2,5,5,5,5,5,5,5,4,4,5,2,1,2,2,3,7,2,3,12
3,4,5,4,4,4,4,4,5,4,5,3,5,5,5,4,4,5,4,3,7,2,3,11
5,5,5,1,1,2,5,3,1,4,5,5,5,5,5,5,5,5,3,1,7,2,1,6
2,5,5,1,5,4,1,2,5,3,5,5,5,5,5,5,1,1,1,5,7,2,4,13
1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,7,2,5,1
4,4,5,5,2,4,4,4,5,3,2,2,2,4,3,2,3,4,3,3,7,1,6,12
1,4,4,5,5,4,4,4,5,5,4,5,4,3,5,4,2,4,4,5,7,1,3,9
1,2,1,1,5,1,4,4,1,4,5,1,2,1,5,5,5,5,5,4,7,1,3,1
1,2,5,1,1,1,2,2,1,2,2,5,5,3,3,5,1,1,1,1,6,2,3,7
5,4,5,5,4,5,3,5,5,4,5,4,3,5,5,5,1,4,5,5,6,1,6,1
3,3,4,2,5,4,4,5,3,2,2,2,1,1,4,5,4,4,5,3,6,1,5,1
4,4,3,5,3,1,3,4,1,3,3,3,5,4,5,3,3,4,4,4,6,1,3,1
5,5,4,5,4,4,5,3,5,4,5,3,2,5,4,2,1,1,1,1,6,2,2,7
4,5,5,4,2,5,5,5,5,5,4,5,3,2,4,2,1,2,2,2,6,2,2,7
5,5,4,4,3,5,4,5,4,3,4,4,5,4,4,2,2,2,1,1,6,2,3,6
1,1,4,1,5,1,4,4,4,1,1,4,1,1,1,5,1,1,1,4,6,1,3,1
4,3,3,4,1,5,3,5,5,2,5,4,3,4,3,4,5,4,5,4,6,2,3,7
2,4,3,3,2,5,3,4,5,4,5,4,5,5,4,5,4,4,1,4,6,2,3,9
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,3,11
5,5,1,1,1,1,3,1,1,1,5,5,5,1,1,1,1,1,1,1,6,2,5,14
4,4,5,4,4,5,4,1,1,5,5,4,3,4,5,4,5,4,3,2,6,1,4,8
4,4,5,3,1,5,4,5,5,5,5,5,4,5,5,2,1,4,5,1,6,2,3,6
1,1,4,4,4,5,5,4,5,3,4,5,5,5,5,1,1,5,5,5,6,2,3,6
5,5,4,2,2,4,5,3,4,4,5,1,1,3,4,1,1,1,2,2,6,2,4,11
5,5,5,4,4,3,5,5,5,5,5,4,5,4,3,5,5,2,2,5,6,1,5,16
3,3,5,5,1,3,4,5,5,5,5,5,5,5,5,5,1,5,5,1,6,2,1,7
1,1,2,5,5,5,5,4,2,3,5,2,4,1,5,5,1,4,5,4,6,1,3,10
5,5,5,4,3,4,4,2,4,4,5,5,2,4,5,2,1,2,2,2,6,2,3,8
4,4,4,3,3,1,2,2,3,1,4,1,1,1,2,3,3,2,4,4,6,1,3,9
5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,3,3,5,6,1,5,1
5,5,4,5,2,2,4,1,1,1,5,4,1,4,4,5,2,4,2,3,6,1,3,1
5,5,5,5,5,5,5,5,4,4,5,3,4,4,4,5,4,2,2,5,5,1,3,12
4,5,5,1,5,1,1,1,1,5,5,4,2,1,4,5,5,4,4,4,5,1,3,6
2,2,3,1,2,1,1,3,1,4,4,1,3,1,3,3,1,1,1,2,5,1,4,1
5,4,4,3,1,1,3,3,2,3,4,4,3,4,3,4,4,3,4,2,5,2,3,9
5,2,2,3,2,1,3,1,1,2,5,1,1,1,3,3,3,1,1,3,5,1,3,5
5,5,5,1,1,1,5,3,3,5,5,5,1,1,5,5,5,5,5,5,5,1,6,1
3,3,4,2,2,4,3,5,5,4,4,3,4,4,5,4,5,4,4,3,5,1,6,5
4,3,5,2,2,1,3,4,3,5,5,3,4,4,5,4,3,3,4,2,5,1,4,1
5,4,5,5,5,4,4,3,4,2,2,5,4,4,3,5,1,4,4,4,5,1,3,5
5,5,5,4,4,3,4,5,4,4,3,3,3,4,4,1,1,2,4,4,5,2,3,6
5,5,5,2,4,4,2,3,4,4,4,4,2,2,4,5,4,1,2,2,5,1,3,1
4,3,5,4,4,5,4,4,5,5,4,5,4,5,5,3,2,2,2,1,5,2,1,5
4,4,4,3,3,5,5,3,3,3,2,2,1,4,4,5,1,4,4,2,5,2,2,7
4,3,4,5,2,3,3,4,5,4,5,3,2,4,5,3,2,3,4,1,5,2,2,7
1,1,4,1,1,1,1,1,1,2,1,1,1,1,1,5,1,1,1,1,5,2,3,4
1,4,5,4,2,3,3,5,5,4,5,2,2,4,5,4,2,2,3,1,5,2,2,7
5,5,5,2,2,5,5,5,5,3,4,3,3,5,1,4,4,5,4,1,5,2,1,4
2,3,4,4,4,4,3,5,4,5,5,4,4,4,5,3,2,3,2,2,5,2,3,6
5,5,5,1,1,1,4,4,5,4,5,4,4,5,5,5,5,4,4,5,5,1,5,2
4,5,5,5,1,5,5,5,5,5,2,5,4,5,5,5,2,5,5,2,5,2,1,6
5,5,1,4,4,3,5,3,3,4,3,3,1,1,1,1,5,4,5,5,5,2,3,5
5,5,5,5,5,2,5,5,4,4,5,5,3,5,5,5,5,3,3,5,5,1,5,1
2,4,5,4,4,5,4,3,5,4,1,2,2,5,4,5,5,4,3,2,5,1,3,8
5,5,5,2,1,2,2,1,4,5,5,2,5,5,5,4,4,4,4,5,5,2,3,8
4,4,4,2,2,4,3,5,4,3,2,3,3,3,5,5,3,4,2,4,5,2,2,6
1,1,1,4,5,5,1,5,4,3,2,2,4,3,2,4,2,2,4,3,5,2,3,7
4,2,2,2,2,3,2,3,4,5,3,2,3,3,2,3,2,2,2,2,5,1,3,7
4,3,5,1,5,1,3,3,1,5,5,4,3,1,5,5,4,3,4,4,5,1,3,1
4,4,5,3,1,3,3,5,5,5,4,4,5,4,5,3,1,4,2,1,5,2,2,10
3,4,3,3,3,3,3,3,3,3,2,3,3,1,3,5,2,4,3,3,5,1,3,2
3,3,5,1,1,1,3,4,1,5,5,5,1,1,5,5,5,5,5,5,5,1,4,99
3,3,4,4,4,3,3,4,4,4,4,4,4,4,3,5,1,4,4,3,5,2,4,9
5,5,5,1,5,1,5,4,4,5,5,5,3,5,5,5,1,3,1,4,5,1,3,1
2,4,2,1,4,4,3,2,4,3,2,3,3,4,4,4,3,2,3,4,5,1,2,1
5,5,4,4,4,4,4,5,5,4,5,5,5,5,4,5,5,5,4,5,5,2,4,7
5,5,5,1,1,3,3,3,3,3,4,4,4,5,5,5,5,5,3,5,5,2,3,8
4,5,5,4,5,1,1,1,1,4,1,1,1,1,5,1,2,4,1,3,5,1,6,1
4,5,5,5,2,5,5,3,4,5,5,4,2,5,5,2,3,3,3,4,5,2,1,10
5,4,5,3,4,2,5,3,5,3,4,5,3,2,1,5,4,4,4,2,5,1,5,1
4,3,4,2,1,2,2,5,5,5,5,2,2,5,5,4,1,2,2,3,5,2,2,7
3,4,3,5,4,3,2,3,4,5,4,3,3,4,4,3,5,3,4,2,5,1,3,1
3,3,5,2,4,2,5,2,4,5,5,2,4,3,5,5,4,4,2,1,5,1,3,1
2,3,4,4,2,1,4,1,1,3,4,4,4,1,5,4,3,4,4,2,5,1,3,1
5,5,4,5,1,4,3,4,5,5,5,1,2,4,5,4,5,5,5,4,5,2,5,11
1,3,5,3,5,1,2,1,1,5,5,4,2,5,5,4,1,2,4,4,5,1,3,1
5,5,5,4,4,5,5,3,5,5,4,4,1,2,4,5,4,4,3,5,5,1,5,2
5,5,5,5,1,1,3,1,4,5,4,5,1,1,2,5,5,4,4,4,5,1,5,1
5,4,5,3,3,4,5,1,1,5,5,4,2,1,3,5,1,4,3,5,5,1,5,1
1,2,3,1,2,1,4,1,1,2,3,2,1,2,3,4,3,1,2,3,5,1,2,1
4,5,5,5,5,4,5,1,4,3,2,3,1,2,4,5,5,4,4,4,5,1,5,5
1,5,5,5,5,5,5,5,4,4,4,3,2,4,4,5,5,1,4,2,5,1,4,4
5,5,5,5,2,3,4,4,4,4,4,3,4,4,4,1,1,2,2,2,5,2,3,7
4,4,4,3,3,3,2,5,5,4,5,3,3,1,5,5,2,2,3,3,5,1,4,9
3,2,5,3,1,1,1,1,1,1,5,1,5,2,5,5,1,1,2,2,5,2,2,8
4,4,3,4,4,4,5,5,4,5,4,4,4,4,4,4,5,5,5,4,5,2,3,9
5,5,4,2,1,3,3,1,5,3,4,1,1,5,5,3,1,2,2,1,4,2,5,16
2,3,4,3,3,2,3,4,2,2,4,3,2,3,3,5,4,3,2,2,4,2,4,12
5,5,5,4,4,4,5,5,4,5,4,5,4,2,5,4,4,4,3,5,4,2,4,11
5,5,5,5,1,5,5,1,5,5,1,1,1,5,5,5,5,3,3,1,4,2,3,8
2,2,3,2,2,4,4,4,5,5,2,2,2,5,4,3,2,2,3,2,4,2,4,9
5,4,5,3,4,3,4,2,5,3,4,2,4,5,5,3,1,4,3,2,4,2,3,11
4,4,4,1,1,1,1,4,1,5,5,1,5,4,4,5,5,2,2,2,4,2,5,11
5,4,3,4,3,4,3,2,5,3,5,4,5,4,4,4,5,4,4,3,4,2,3,9
1,1,5,1,1,1,1,5,1,5,1,1,5,5,1,5,1,1,1,1,4,2,3,1
5,5,4,2,2,3,3,5,5,3,4,1,1,5,5,3,1,4,2,3,4,2,3,8
4,3,2,3,2,5,3,4,1,3,2,1,4,5,4,3,2,4,5,2,4,2,2,7
4,5,4,3,2,2,3,1,2,4,3,3,2,2,3,5,3,2,2,4,4,2,2,9
5,5,5,5,1,5,5,3,4,4,4,4,5,5,5,4,1,5,5,5,4,2,3,1
4,4,3,4,1,2,5,5,4,5,5,3,3,2,4,1,1,2,2,3,4,2,3,7
5,5,5,4,2,4,5,4,4,5,5,4,4,4,4,4,3,3,4,3,4,2,2,8
4,3,3,2,3,4,3,3,4,5,4,3,3,2,3,4,2,3,3,2,4,2,2,7
4,4,5,5,1,1,1,5,5,5,1,1,5,5,5,5,1,1,1,1,4,1,3,1
1,1,4,1,1,1,1,4,1,4,1,1,1,1,1,2,1,1,1,2,4,2,3,1
3,2,3,1,1,3,4,4,4,5,4,2,3,4,4,2,2,1,1,1,4,2,2,9
3,4,4,3,1,3,3,4,4,4,4,4,4,4,4,4,1,2,5,2,4,2,2,9
4,4,5,2,1,4,4,4,4,3,1,4,3,4,4,3,2,2,2,3,4,2,2,8
5,4,5,3,4,3,4,3,4,5,3,4,3,4,4,4,3,4,3,4,4,2,3,9
3,2,4,3,2,3,4,2,3,4,5,3,2,2,3,4,3,2,2,1,4,2,2,9
3,2,5,2,2,2,2,5,3,5,5,3,5,2,5,5,2,2,2,1,4,2,3,11
1,1,5,1,1,1,1,5,1,1,1,1,1,1,5,1,1,1,1,1,4,2,2,9
3,2,2,3,2,3,3,2,2,1,2,2,3,2,3,1,1,4,4,3,4,2,2,6
4,5,2,1,1,1,5,5,5,5,5,3,4,5,5,4,1,3,3,3,4,2,2,7
4,3,4,1,1,5,4,1,2,3,4,1,2,3,4,3,4,2,3,3,4,2,3,9
1,4,3,5,2,4,2,2,4,5,3,1,4,1,4,2,4,2,1,3,4,2,3,11
5,4,3,4,3,5,5,3,4,4,4,3,2,2,4,3,4,3,4,1,4,2,3,7
3,4,4,5,5,4,4,5,5,5,4,3,5,5,5,2,1,1,4,3,4,2,6,15
4,3,3,2,2,4,2,4,3,2,3,3,2,4,3,2,2,5,4,3,4,2,3,8
5,5,4,4,1,5,4,1,3,3,2,1,5,5,5,5,3,4,4,2,4,2,3,10
2,5,5,1,1,5,2,2,5,5,5,3,2,5,5,4,4,3,3,3,4,2,3,7
4,4,4,2,2,2,2,5,4,4,3,3,4,4,4,5,1,4,4,4,4,2,6,12
5,1,5,1,1,1,5,1,5,1,5,1,1,5,5,5,1,4,4,4,4,2,3,10
5,5,5,1,1,5,5,1,5,5,5,1,1,3,2,5,1,1,2,3,4,2,5,11
1,4,3,1,1,4,5,2,4,2,4,1,2,1,4,3,1,1,2,1,4,2,3,6
3,2,2,2,4,3,2,3,4,3,4,3,2,3,2,3,2,1,1,1,4,2,2,7
4,4,3,4,3,4,3,2,1,2,3,2,3,3,2,3,2,1,2,1,4,2,3,15
5,5,4,3,4,3,4,3,3,5,5,4,2,5,5,3,2,4,1,3,3,1,5,9
4,2,5,4,2,2,2,5,5,5,4,4,3,3,5,2,2,4,4,3,3,1,5,8
2,2,2,1,4,1,3,2,4,3,1,2,1,5,3,4,1,1,1,3,3,1,6,12
4,5,5,1,5,1,1,1,1,5,5,1,3,1,5,5,1,1,1,5,3,1,3,2
4,5,4,5,5,4,5,5,5,3,4,3,5,5,5,5,5,5,4,5,3,2,3,11
5,4,4,4,4,4,3,5,3,4,5,3,4,3,4,5,4,3,4,3,3,2,3,9
1,3,5,4,3,2,5,5,2,5,1,1,5,1,1,2,4,3,5,3,3,1,5,1
5,1,5,5,1,1,1,1,1,2,1,1,5,1,5,5,1,1,1,1,3,1,3,6
4,3,5,3,2,3,4,5,4,3,4,5,4,3,2,3,3,3,4,3,3,2,2,5
3,5,2,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,3,1,2,1
4,5,4,4,1,5,5,5,4,4,2,2,1,3,1,5,1,2,2,2,3,2,3,8
4,5,4,1,4,5,5,4,5,4,4,4,2,2,2,4,2,2,2,2,3,2,2,5
4,5,4,3,4,3,3,3,4,2,3,4,5,5,5,4,5,5,5,5,3,2,3,9
4,4,4,5,3,3,5,4,5,3,3,3,4,5,3,4,4,1,1,5,3,2,2,7
5,5,5,4,4,4,4,5,4,2,1,1,5,1,1,4,1,1,3,3,3,2,2,6
5,5,5,4,4,5,5,5,5,4,4,5,4,5,5,5,5,5,5,5,3,2,3,7
5,4,3,5,5,4,5,4,4,1,3,4,3,5,5,5,3,4,3,5,3,1,4,1
5,5,5,4,2,4,5,4,5,4,4,2,4,4,4,1,1,1,1,2,3,2,3,6
4,3,5,2,3,1,3,4,3,2,3,4,3,4,5,3,2,4,2,3,3,2,2,6
5,5,5,2,2,2,2,4,4,3,1,1,1,3,4,2,2,1,1,1,3,2,3,3
5,5,4,4,3,5,5,5,4,4,3,2,5,2,3,4,1,3,2,3,3,2,3,9
4,5,5,2,2,5,5,4,2,3,5,5,5,5,5,4,2,5,2,3,3,2,2,1
5,5,5,5,5,4,3,5,5,5,5,5,4,5,4,4,4,3,3,5,3,2,4,11
4,5,5,5,3,5,5,5,5,5,1,2,5,5,5,5,4,4,4,4,3,2,3,7
2,4,4,2,2,1,2,1,1,2,4,3,5,1,4,4,4,5,3,4,3,1,5,3
5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,1,5,5,5,3,1,5,1
4,5,4,4,4,5,5,5,5,4,4,5,5,5,5,5,4,5,4,5,3,2,4,11
5,5,5,4,4,1,5,5,5,5,3,5,5,5,5,1,1,5,5,5,3,1,3,8
4,2,5,1,1,4,5,1,5,4,2,4,5,5,5,5,4,2,2,4,3,2,2,8
2,4,5,4,1,4,5,5,5,5,4,5,3,5,5,2,1,2,2,3,3,2,2,10
5,5,5,5,2,4,4,3,3,3,5,5,4,3,3,3,2,3,4,3,3,2,5,11
5,5,5,5,3,3,4,5,2,4,4,2,3,3,3,1,1,1,1,2,3,2,2,7
5,5,5,4,4,4,3,3,5,4,3,4,3,3,4,1,1,1,1,4,3,2,3,7
3,3,4,5,1,4,4,4,4,3,3,4,2,2,3,4,5,2,4,4,3,1,5,1
5,4,3,5,5,4,5,5,4,3,1,2,2,4,4,5,5,3,1,5,3,2,3,8
3,4,4,4,4,1,5,1,1,1,1,3,1,1,5,4,4,3,3,4,3,1,5,1
3,4,5,5,5,4,5,5,5,4,5,4,3,5,5,4,4,4,3,4,3,2,4,8
1,3,4,1,4,4,4,4,4,3,3,1,5,2,3,1,1,1,2,2,3,2,2,8
5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,4,2,4,4,4,3,1,5,1
4,4,5,4,4,5,4,5,5,4,3,3,4,5,5,5,1,2,2,4,3,2,4,8
4,3,2,3,1,1,1,2,5,3,1,1,3,5,1,1,1,1,3,1,3,1,3,7
4,3,1,2,1,2,3,2,3,5,2,2,4,1,1,3,2,4,3,3,3,2,2,9
5,5,5,4,4,5,4,5,5,5,4,4,5,5,5,5,5,5,4,4,3,1,6,1
4,4,4,5,1,5,4,5,5,3,4,5,5,5,5,5,4,1,1,5,3,2,3,6
2,2,4,4,5,4,5,5,2,4,4,5,5,3,3,2,4,5,3,3,3,1,4,10
2,4,4,2,2,1,1,2,1,2,3,1,5,1,4,4,3,3,2,3,3,1,4,1
1,3,4,1,3,1,3,1,1,4,4,1,1,1,4,4,1,3,2,4,3,1,3,1
1,1,2,1,1,1,1,2,5,4,4,2,4,5,4,2,1,1,1,1,3,2,3,7
4,4,5,2,1,1,5,5,5,5,4,1,5,5,4,5,5,5,4,5,3,2,2,8
4,3,4,5,3,3,4,2,2,1,1,4,1,5,4,5,5,5,5,5,3,1,4,1
5,5,5,5,4,4,5,5,4,4,2,3,4,4,4,1,1,1,2,2,3,2,2,9
4,4,4,4,4,4,5,4,4,4,5,4,5,4,5,3,2,3,4,4,3,2,2,7
5,4,4,3,3,4,4,4,4,4,4,4,4,4,4,5,3,4,3,3,3,2,3,9
2,5,4,3,1,1,2,2,4,5,3,2,2,4,5,4,2,4,4,3,3,1,4,9
4,4,4,2,5,1,2,4,1,4,4,1,4,5,4,3,2,3,3,4,3,1,6,1
5,4,5,3,3,4,5,5,4,5,5,3,4,4,5,4,3,2,3,3,3,2,3,7
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,4,5,3,1,3,10
5,4,5,3,1,3,4,3,5,5,4,2,4,5,3,5,5,1,5,1,3,2,3,7
4,3,2,4,2,3,5,3,4,4,3,2,4,2,5,3,1,2,4,5,3,1,3,1
3,3,5,5,3,2,3,5,4,3,3,2,3,4,4,3,2,3,4,5,3,2,3,12
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,4,3,1,5,1
5,5,5,2,1,5,5,5,5,4,4,5,4,5,4,3,1,2,2,4,3,2,2,7
5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,3,2,3,7
1,1,5,5,5,1,3,3,1,1,1,1,5,1,1,3,5,5,1,3,3,2,2,7
3,5,4,1,1,3,4,5,4,5,4,4,5,4,3,5,5,5,4,5,3,1,5,12
3,3,4,1,4,1,4,4,5,4,3,3,3,2,5,5,4,5,4,4,3,1,3,9
3,4,5,3,2,5,3,1,5,5,5,4,3,4,5,2,1,4,4,3,3,2,1,10
1,3,4,5,2,4,1,5,5,4,4,2,5,4,1,1,3,2,4,5,3,2,3,6
3,4,4,5,2,3,4,5,4,5,5,4,3,2,2,2,1,3,2,3,3,1,5,1
5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,3,4,3,2,3,2,1,1
5,4,5,1,5,1,4,3,3,2,4,3,2,2,5,5,3,5,5,4,3,1,5,1
5,4,5,4,5,5,2,5,5,4,5,3,3,5,4,5,5,5,4,5,3,1,4,1
5,3,4,1,1,1,5,5,3,2,3,1,5,4,5,5,1,3,4,5,3,2,2,6
4,3,3,4,2,5,4,2,4,5,4,3,5,2,4,5,3,4,2,5,3,1,3,9
5,4,3,3,4,5,5,4,4,4,4,5,4,3,4,4,3,4,3,4,3,1,4,9
2,2,4,5,1,1,1,5,1,5,4,1,2,2,5,1,2,2,2,2,3,2,3,12
2,2,3,4,1,5,4,5,5,5,5,5,5,5,4,2,1,3,3,5,3,2,2,9
4,3,3,4,4,5,5,4,3,3,3,4,5,4,4,4,4,1,1,1,3,2,2,8
5,5,5,2,5,1,2,2,1,3,5,1,1,1,5,3,2,1,4,5,3,1,3,9
5,3,2,1,5,5,2,5,4,2,2,4,5,5,5,3,4,4,3,4,3,1,5,1
5,4,3,1,1,2,5,4,3,4,3,3,4,4,5,5,3,2,2,5,3,2,5,10
3,4,4,2,1,1,4,3,2,2,4,4,1,4,3,4,4,5,2,4,3,1,3,7
3,3,5,4,5,2,4,2,4,5,5,5,4,2,5,2,5,5,2,2,3,1,2,8
3,2,4,3,1,2,4,5,2,2,3,2,4,1,2,5,3,4,2,2,2,1,6,1
2,5,4,5,1,5,4,5,4,2,5,2,2,1,1,5,1,1,3,1,2,2,4,8
5,5,5,2,1,2,5,5,5,5,5,5,5,5,5,5,1,4,4,4,2,2,2,9
4,3,2,2,4,2,4,3,2,2,4,2,4,3,5,4,5,5,5,5,2,1,3,8
5,5,5,5,1,1,5,5,5,5,5,5,4,5,5,5,4,4,4,4,2,2,3,8
5,5,5,5,1,5,5,5,5,5,5,1,1,5,5,1,1,1,1,1,2,2,1,5
4,5,5,2,2,3,4,5,5,5,5,4,5,4,4,2,1,3,2,4,2,2,2,8
5,4,1,4,5,1,1,1,3,1,1,2,1,1,4,5,1,4,4,5,2,1,5,1
5,5,4,4,5,5,4,4,5,4,4,2,4,5,5,5,3,4,3,5,2,1,3,1
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,7
2,2,1,1,1,1,2,5,1,4,2,1,1,5,5,5,1,4,3,1,2,2,3,7
2,2,4,2,4,1,4,4,1,3,1,1,5,1,3,3,2,5,5,5,2,1,5,2
5,5,5,4,5,3,5,3,4,5,5,4,1,1,5,5,5,4,3,5,2,1,6,1
5,5,5,4,4,5,5,4,3,5,3,4,4,5,4,5,2,4,3,3,2,2,3,99
4,4,4,1,1,1,4,1,1,3,4,1,1,4,3,5,5,4,3,5,2,1,3,9
4,5,4,5,1,4,4,3,5,3,4,2,4,3,5,4,1,5,5,4,2,2,5,9
4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,5,4,2,1,3,10
5,5,5,4,4,5,5,5,5,5,4,4,4,5,4,5,4,4,4,4,2,2,3,5
3,3,5,4,5,4,5,5,3,5,3,4,3,5,5,5,4,4,4,4,2,1,3,7
3,5,5,5,2,5,1,4,5,5,4,3,5,5,4,4,2,2,3,4,2,2,2,8
5,5,5,5,1,4,5,5,5,5,5,5,3,5,5,5,5,5,5,5,2,2,4,16
3,3,3,1,5,1,1,5,3,1,3,1,3,3,1,4,1,4,4,5,2,2,6,12
4,5,3,2,1,4,5,5,2,3,5,4,3,4,5,4,5,5,5,5,2,2,3,11
1,1,1,3,2,3,5,1,3,3,4,1,4,5,5,4,1,3,3,2,2,2,6,11
4,3,4,4,3,5,1,3,1,1,1,2,4,1,2,5,3,2,1,5,2,2,3,5
3,5,5,3,4,5,5,5,4,5,5,3,5,4,5,5,2,1,1,4,2,2,3,10
5,5,5,4,1,1,1,4,4,5,5,4,5,4,4,4,3,4,4,2,2,2,2,7
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,2,1,6,1
